rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,film_id,store_id,category_id,name,rental_duration,rental_rate,replacement_cost
2,2005-05-24 22:54:33,1525,459,2005-05-28 19:40:33,1,333,2,12,Music,7,2.99,16.99
1449,2005-06-15 19:19:16,1525,471,2005-06-18 15:24:16,2,333,2,12,Music,7,2.99,16.99
5499,2005-07-10 00:27:45,1525,127,2005-07-17 06:11:45,1,333,2,12,Music,7,2.99,16.99
9711,2005-07-31 08:06:41,1525,231,2005-08-02 10:30:41,2,333,2,12,Music,7,2.99,16.99
769,2005-05-29 12:51:44,1523,575,2005-06-01 17:43:44,1,333,1,12,Music,7,2.99,16.99
2060,2005-06-17 15:42:42,1523,64,2005-06-22 16:39:42,1,333,1,12,Music,7,2.99,16.99
5270,2005-07-09 14:23:46,1523,128,2005-07-13 15:04:46,1,333,1,12,Music,7,2.99,16.99
7208,2005-07-27 09:16:28,1523,138,2005-07-28 09:40:28,1,333,1,12,Music,7,2.99,16.99
2303,2005-06-18 08:27:59,1524,329,2005-06-22 10:58:59,1,333,2,12,Music,7,2.99,16.99
5870,2005-07-10 18:40:25,1524,438,2005-07-12 15:39:25,2,333,2,12,Music,7,2.99,16.99
9026,2005-07-30 05:55:31,1524,423,2005-08-01 03:19:31,1,333,2,12,Music,7,2.99,16.99
4322,2005-07-07 17:54:37,1522,568,2005-07-14 13:56:37,1,333,1,12,Music,7,2.99,16.99
9493,2005-07-30 23:52:30,1522,5,2005-08-08 05:22:30,1,333,1,12,Music,7,2.99,16.99
16,2005-05-25 00:43:11,389,316,2005-05-26 04:42:11,2,86,1,12,Music,6,4.99,11.99
1620,2005-06-16 07:21:30,389,561,2005-06-17 09:46:30,1,86,1,12,Music,6,4.99,11.99
5679,2005-07-10 08:44:02,389,138,2005-07-14 05:30:02,1,86,1,12,Music,6,4.99,11.99
9289,2005-07-30 15:57:04,389,453,2005-08-07 18:46:04,1,86,1,12,Music,6,4.99,11.99
488,2005-05-28 00:07:50,393,168,2005-06-03 22:30:50,2,86,2,12,Music,6,4.99,11.99
2927,2005-06-20 04:41:41,393,403,2005-06-23 01:59:41,1,86,2,12,Music,6,4.99,11.99
6546,2005-07-12 04:57:17,393,105,2005-07-17 09:29:17,2,86,2,12,Music,6,4.99,11.99
11014,2005-08-02 05:12:22,393,269,2005-08-07 09:33:22,1,86,2,12,Music,6,4.99,11.99
888,2005-05-30 07:13:14,387,128,2005-06-06 09:50:14,1,86,1,12,Music,6,4.99,11.99
2527,2005-06-19 01:10:31,387,463,2005-06-20 05:37:31,2,86,1,12,Music,6,4.99,11.99
5751,2005-07-10 12:25:11,387,479,2005-07-11 15:23:11,1,86,1,12,Music,6,4.99,11.99
9507,2005-07-31 00:22:29,387,525,2005-08-07 05:59:29,2,86,1,12,Music,6,4.99,11.99
987,2005-05-30 22:59:12,390,11,2005-06-07 20:56:12,1,86,1,12,Music,6,4.99,11.99
1649,2005-06-16 09:20:33,390,352,2005-06-18 13:42:33,1,86,1,12,Music,6,4.99,11.99
4762,2005-07-08 14:54:42,390,36,2005-07-12 18:08:42,1,86,1,12,Music,6,4.99,11.99
7911,2005-07-28 11:46:45,390,3,2005-07-29 07:19:45,1,86,1,12,Music,6,4.99,11.99
4973,2005-07-08 23:58:18,391,432,2005-07-14 21:42:18,1,86,2,12,Music,6,4.99,11.99
8960,2005-07-30 03:36:31,391,525,2005-08-01 23:46:31,2,86,2,12,Music,6,4.99,11.99
8386,2005-07-29 05:45:30,388,435,2005-08-05 03:56:30,2,86,1,12,Music,6,4.99,11.99
8613,2005-07-29 13:30:58,394,411,2005-08-05 16:21:58,2,86,2,12,Music,6,4.99,11.99
9040,2005-07-30 06:31:45,392,33,2005-08-03 12:20:45,1,86,2,12,Music,6,4.99,11.99
18,2005-05-25 01:10:47,3376,19,2005-05-31 06:35:47,2,741,1,12,Music,7,0.99,28.99
1380,2005-06-15 15:13:10,3376,158,2005-06-18 12:42:10,2,741,1,12,Music,7,0.99,28.99
6842,2005-07-12 19:07:55,3376,366,2005-07-19 22:47:55,1,741,1,12,Music,7,0.99,28.99
8974,2005-07-30 04:09:16,3376,425,2005-08-04 06:55:16,1,741,1,12,Music,7,0.99,28.99
821,2005-05-29 21:31:12,3380,348,2005-06-04 22:49:12,1,741,2,12,Music,7,0.99,28.99
1403,2005-06-15 16:31:59,3380,546,2005-06-22 14:23:59,2,741,2,12,Music,7,0.99,28.99
5500,2005-07-10 00:28:17,3380,457,2005-07-15 19:09:17,1,741,2,12,Music,7,0.99,28.99
8171,2005-07-28 21:32:57,3380,296,2005-07-30 21:19:57,1,741,2,12,Music,7,0.99,28.99
1065,2005-05-31 08:54:56,3379,316,2005-06-08 09:21:56,1,741,1,12,Music,7,0.99,28.99
2513,2005-06-18 23:53:15,3379,515,2005-06-24 21:16:15,2,741,1,12,Music,7,0.99,28.99
3636,2005-07-06 07:03:52,3379,591,2005-07-08 03:14:52,2,741,1,12,Music,7,0.99,28.99
7266,2005-07-27 11:22:17,3379,24,2005-08-04 05:45:17,1,741,1,12,Music,7,0.99,28.99
2384,2005-06-18 15:18:49,3378,132,2005-06-21 18:10:49,1,741,1,12,Music,7,0.99,28.99
6380,2005-07-11 21:55:40,3378,172,2005-07-17 20:42:40,1,741,1,12,Music,7,0.99,28.99
6537,2005-07-12 04:46:30,3381,207,2005-07-19 03:04:30,2,741,2,12,Music,7,0.99,28.99
7759,2005-07-28 06:28:45,3381,405,2005-08-03 11:38:45,1,741,2,12,Music,7,0.99,28.99
8430,2005-07-29 07:12:17,3377,219,2005-08-03 09:53:17,2,741,1,12,Music,7,0.99,28.99
24,2005-05-25 02:53:02,3273,350,2005-05-27 01:15:02,1,721,1,12,Music,7,4.99,23.99
1323,2005-06-15 10:55:17,3273,187,2005-06-24 09:51:17,1,721,1,12,Music,7,4.99,23.99
5968,2005-07-11 00:03:11,3273,554,2005-07-19 18:46:11,1,721,1,12,Music,7,4.99,23.99
8507,2005-07-29 09:29:44,3273,524,2005-08-07 05:48:44,2,721,1,12,Music,7,4.99,23.99
1453,2005-06-15 19:36:39,3274,457,2005-06-19 00:16:39,2,721,1,12,Music,7,4.99,23.99
6224,2005-07-11 13:42:18,3274,475,2005-07-16 09:28:18,1,721,1,12,Music,7,4.99,23.99
7387,2005-07-27 15:54:19,3274,233,2005-08-03 14:46:19,1,721,1,12,Music,7,4.99,23.99
30,2005-05-25 04:01:32,3744,430,2005-05-30 03:12:32,1,819,1,12,Music,3,0.99,29.99
2674,2005-06-19 11:47:59,3744,585,2005-06-20 08:09:59,1,819,1,12,Music,3,0.99,29.99
4767,2005-07-08 15:18:53,3744,350,2005-07-13 15:48:53,1,819,1,12,Music,3,0.99,29.99
9913,2005-07-31 14:51:04,3744,229,2005-08-06 12:12:04,1,819,1,12,Music,3,0.99,29.99
3022,2005-06-20 11:17:20,3745,466,2005-06-26 13:15:20,2,819,1,12,Music,3,0.99,29.99
5017,2005-07-09 02:00:16,3745,241,2005-07-14 06:28:16,1,819,1,12,Music,3,0.99,29.99
9573,2005-07-31 02:45:38,3745,59,2005-08-09 04:31:38,2,819,1,12,Music,3,0.99,29.99
8781,2005-07-29 20:20:16,3746,235,2005-07-30 16:19:16,2,819,1,12,Music,3,0.99,29.99
35,2005-05-25 04:24:36,1286,484,2005-05-27 07:02:36,2,284,2,12,Music,5,4.99,23.99
1407,2005-06-15 16:45:07,1286,89,2005-06-23 14:01:07,1,284,2,12,Music,5,4.99,23.99
6595,2005-07-12 07:25:48,1286,458,2005-07-20 02:24:48,2,284,2,12,Music,5,4.99,23.99
10843,2005-08-01 23:43:03,1286,192,2005-08-09 23:49:03,2,284,2,12,Music,5,4.99,23.99
97,2005-05-25 16:34:24,1283,263,2005-05-28 12:13:24,2,284,1,12,Music,5,4.99,23.99
2446,2005-06-18 19:04:41,1283,466,2005-06-27 17:10:41,2,284,1,12,Music,5,4.99,23.99
5138,2005-07-09 08:00:46,1283,548,2005-07-12 09:31:46,2,284,1,12,Music,5,4.99,23.99
7986,2005-07-28 14:30:13,1283,395,2005-08-05 09:35:13,1,284,1,12,Music,5,4.99,23.99
632,2005-05-28 17:37:50,1287,442,2005-06-03 16:04:50,1,284,2,12,Music,5,4.99,23.99
2538,2005-06-19 01:56:59,1287,472,2005-06-25 00:54:59,2,284,2,12,Music,5,4.99,23.99
4323,2005-07-07 17:55:53,1287,336,2005-07-13 16:43:53,2,284,2,12,Music,5,4.99,23.99
7243,2005-07-27 10:26:11,1287,238,2005-07-29 11:43:11,2,284,2,12,Music,5,4.99,23.99
1151,2005-05-31 21:29:00,1281,581,2005-06-03 23:24:00,1,284,1,12,Music,5,4.99,23.99
1383,2005-06-15 15:20:06,1281,379,2005-06-24 18:42:06,2,284,1,12,Music,5,4.99,23.99
3893,2005-07-06 18:59:31,1281,350,2005-07-12 19:21:31,1,284,1,12,Music,5,4.99,23.99
8663,2005-07-29 15:33:18,1281,214,2005-07-30 18:03:18,1,284,1,12,Music,5,4.99,23.99
3362,2005-06-21 12:19:54,1284,454,2005-06-23 06:59:54,2,284,2,12,Music,5,4.99,23.99
3977,2005-07-06 23:00:49,1284,449,2005-07-15 00:41:49,1,284,2,12,Music,5,4.99,23.99
10908,2005-08-02 01:53:06,1284,269,2005-08-04 02:46:06,2,284,2,12,Music,5,4.99,23.99
6555,2005-07-12 05:08:16,1282,188,2005-07-14 04:09:16,1,284,1,12,Music,5,4.99,23.99
9720,2005-07-31 08:25:21,1282,587,2005-08-07 11:30:21,2,284,1,12,Music,5,4.99,23.99
8320,2005-07-29 03:49:58,1285,513,2005-08-03 01:00:58,1,284,2,12,Music,5,4.99,23.99
51,2005-05-25 06:49:10,1257,256,2005-05-26 06:42:10,1,278,1,12,Music,4,4.99,19.99
2143,2005-06-17 21:58:13,1257,507,2005-06-19 23:59:13,2,278,1,12,Music,4,4.99,19.99
6588,2005-07-12 06:57:40,1257,420,2005-07-16 04:27:40,1,278,1,12,Music,4,4.99,19.99
6924,2005-07-26 22:51:53,1257,502,2005-08-03 19:04:53,2,278,1,12,Music,4,4.99,19.99
7608,2005-07-28 00:08:36,1256,167,2005-07-28 18:13:36,1,278,1,12,Music,4,4.99,19.99
67,2005-05-25 09:41:01,239,119,2005-05-27 13:46:01,2,54,1,12,Music,5,0.99,15.99
1218,2005-06-15 03:24:44,239,371,2005-06-21 22:45:44,2,54,1,12,Music,5,0.99,15.99
4643,2005-07-08 09:13:56,239,436,2005-07-10 12:09:56,2,54,1,12,Music,5,0.99,15.99
237,2005-05-26 12:15:13,241,536,2005-05-29 18:10:13,1,54,2,12,Music,5,0.99,15.99
2420,2005-06-18 17:22:28,241,502,2005-06-23 17:45:28,1,54,2,12,Music,5,0.99,15.99
4678,2005-07-08 10:30:40,241,219,2005-07-13 11:08:40,1,54,2,12,Music,5,0.99,15.99
9418,2005-07-30 21:00:52,241,168,2005-08-08 15:56:52,2,54,2,12,Music,5,0.99,15.99
1677,2005-06-16 11:07:11,240,191,2005-06-23 10:50:11,1,54,2,12,Music,5,0.99,15.99
3795,2005-07-06 14:37:41,240,153,2005-07-11 20:27:41,2,54,2,12,Music,5,0.99,15.99
10557,2005-08-01 12:59:24,240,385,2005-08-04 17:08:24,2,54,2,12,Music,5,0.99,15.99
2145,2005-06-17 22:10:36,238,388,2005-06-18 21:07:36,2,54,1,12,Music,5,0.99,15.99
6587,2005-07-12 06:56:26,238,419,2005-07-20 05:53:26,2,54,1,12,Music,5,0.99,15.99
7167,2005-07-27 07:37:26,238,380,2005-08-03 06:39:26,1,54,1,12,Music,5,0.99,15.99
3231,2005-06-21 02:25:00,237,28,2005-06-23 05:46:00,2,54,1,12,Music,5,0.99,15.99
6741,2005-07-12 14:24:16,237,359,2005-07-15 08:31:16,1,54,1,12,Music,5,0.99,15.99
7886,2005-07-28 10:37:55,237,352,2005-08-04 13:22:55,2,54,1,12,Music,5,0.99,15.99
199,2005-05-26 07:11:58,2135,71,2005-05-28 09:06:58,1,462,1,12,Music,5,2.99,17.99
3079,2005-06-20 15:13:40,2135,350,2005-06-21 12:03:40,1,462,1,12,Music,5,2.99,17.99
4391,2005-07-07 21:09:38,2135,42,2005-07-09 17:35:38,1,462,1,12,Music,5,2.99,17.99
8976,2005-07-30 04:12:32,2135,507,2005-08-04 23:08:32,1,462,1,12,Music,5,2.99,17.99
406,2005-05-27 13:46:46,2136,381,2005-05-30 12:43:46,1,462,2,12,Music,5,2.99,17.99
3458,2005-06-21 21:42:49,2136,338,2005-06-29 01:26:49,1,462,2,12,Music,5,2.99,17.99
5482,2005-07-09 23:53:04,2136,460,2005-07-15 04:59:04,1,462,2,12,Music,5,2.99,17.99
10179,2005-07-31 23:49:54,2136,131,2005-08-01 20:46:54,2,462,2,12,Music,5,2.99,17.99
2101,2005-06-17 18:57:02,2137,581,2005-06-20 15:38:02,2,462,2,12,Music,5,2.99,17.99
6326,2005-07-11 19:06:55,2137,563,2005-07-12 20:41:55,1,462,2,12,Music,5,2.99,17.99
9807,2005-07-31 11:13:52,2137,267,2005-08-02 07:34:52,1,462,2,12,Music,5,2.99,17.99
