rental_id;rental_date;inventory_id;customer_id;staff_id;film_id;store_id;category_id;categoria;qtd; valor_aluguel ;rental_duration
2;2005-05-24 22:54:33.000;3021;1;2;663;2;4;Classics;1; 0,99 ;7
3;2005-05-24 23:03:39.000;4020;1;1;875;1;15;Sports;1; 0,99 ;6
4;2005-05-24 23:04:41.000;2785;1;2;611;2;4;Classics;1; 4,99 ;7
5;2005-05-24 23:05:21.000;1021;1;2;228;2;4;Classics;1; 0,99 ;4
6;2005-05-24 23:08:07.000;1407;1;1;308;1;5;Comedy;1; 2,99 ;3
7;2005-05-24 23:11:53.000;726;1;1;159;1;5;Comedy;1; 4,99 ;5
8;2005-05-24 23:31:46.000;197;1;2;44;2;14;Sci-Fi;1; 4,99 ;5
9;2005-05-25 00:00:40.000;3497;1;1;766;1;7;Drama;1; 0,99 ;5
10;2005-05-25 00:02:21.000;4566;1;1;997;1;12;Music;1; 0,99 ;4
11;2005-05-25 00:09:02.000;1443;1;2;316;2;10;Games;1; 4,99 ;5
12;2005-05-25 00:19:27.000;3486;1;2;764;2;15;Sports;1; 4,99 ;3
13;2005-05-25 00:22:55.000;3726;1;2;814;2;5;Comedy;1; 4,99 ;6
14;2005-05-25 00:31:15.000;797;1;1;174;1;12;Music;1; 4,99 ;6
15;2005-05-25 00:39:22.000;1330;1;2;294;2;16;Travel;1; 4,99 ;5
16;2005-05-25 00:43:11.000;2465;1;1;539;1;7;Drama;1; 2,99 ;7
17;2005-05-25 01:06:36.000;1092;1;2;243;2;2;Animation;1; 4,99 ;3
18;2005-05-25 01:10:47.000;4268;1;1;929;1;9;Foreign;1; 4,99 ;5
19;2005-05-25 01:17:24.000;1558;1;1;341;1;4;Classics;1; 0,99 ;5
20;2005-05-25 01:48:41.000;4497;1;1;982;1;1;Action;1; 0,99 ;4
21;2005-05-25 01:59:46.000;108;1;2;22;2;13;New;1; 2,99 ;6
22;2005-05-25 02:19:23.000;2219;1;2;480;2;4;Classics;1; 2,99 ;3
23;2005-05-25 02:40:21.000;14;1;1;3;1;6;Documentary;1; 2,99 ;7
24;2005-05-25 02:53:02.000;1090;2;2;243;2;2;Animation;1; 4,99 ;3
25;2005-05-25 03:21:20.000;352;2;2;78;2;2;Animation;1; 2,99 ;7
26;2005-05-25 03:36:50.000;4116;2;1;895;1;4;Classics;1; 2,99 ;3
27;2005-05-25 03:41:50.000;2760;2;1;606;1;15;Sports;1; 0,99 ;3
28;2005-05-25 03:42:37.000;741;2;1;162;1;1;Action;1; 2,99 ;4
29;2005-05-25 03:47:12.000;488;2;2;109;2;13;New;1; 0,99 ;3
30;2005-05-25 04:01:32.000;2053;2;2;446;2;15;Sports;1; 4,99 ;5
31;2005-05-25 04:05:17.000;1937;2;2;421;2;9;Foreign;1; 4,99 ;7
32;2005-05-25 04:06:21.000;626;2;2;136;2;13;New;1; 2,99 ;7
33;2005-05-25 04:18:51.000;4038;2;1;879;1;12;Music;1; 4,99 ;3
34;2005-05-25 04:19:28.000;2377;2;2;518;2;16;Travel;1; 4,99 ;5
35;2005-05-25 04:24:36.000;4030;2;1;878;1;16;Travel;1; 4,99 ;3
36;2005-05-25 04:36:26.000;1382;2;1;303;1;1;Action;1; 0,99 ;6
37;2005-05-25 04:44:31.000;4088;2;1;891;1;4;Classics;1; 0,99 ;3
38;2005-05-25 04:47:44.000;3084;2;2;678;2;15;Sports;1; 2,99 ;3
39;2005-05-25 04:51:46.000;3142;2;1;690;1;2;Animation;1; 2,99 ;7
40;2005-05-25 05:09:04.000;138;2;1;27;1;15;Sports;1; 0,99 ;7
41;2005-05-25 05:12:29.000;3418;2;1;748;1;1;Action;1; 0,99 ;4
42;2005-05-25 05:24:58.000;654;2;2;142;2;6;Documentary;1; 0,99 ;3
43;2005-05-25 05:39:25.000;3328;3;2;732;2;1;Action;1; 0,99 ;5
44;2005-05-25 05:53:23.000;3464;3;1;759;1;13;New;1; 2,99 ;4
45;2005-05-25 05:59:39.000;3913;3;1;854;1;11;Horror;1; 4,99 ;4
46;2005-05-25 06:04:08.000;116;3;2;23;2;2;Animation;1; 0,99 ;3
47;2005-05-25 06:05:20.000;910;3;2;202;2;5;Comedy;1; 4,99 ;5
48;2005-05-25 06:20:46.000;3917;3;2;855;2;6;Documentary;1; 0,99 ;7
49;2005-05-25 06:39:35.000;1704;3;1;371;1;1;Action;1; 4,99 ;5
50;2005-05-25 06:44:53.000;2058;3;2;447;2;10;Games;1; 2,99 ;5
51;2005-05-25 06:49:10.000;2575;3;2;563;2;10;Games;1; 4,99 ;6
52;2005-05-25 06:51:29.000;579;3;2;126;2;1;Action;1; 4,99 ;3
53;2005-05-25 07:19:16.000;2150;3;1;464;1;2;Animation;1; 2,99 ;3
54;2005-05-25 07:23:25.000;346;3;1;77;1;13;New;1; 4,99 ;5
55;2005-05-25 08:26:13.000;390;3;1;86;1;12;Music;1; 4,99 ;6
56;2005-05-25 08:28:11.000;1182;3;2;263;2;15;Sports;1; 4,99 ;6
57;2005-05-25 08:43:32.000;3261;3;2;717;2;1;Action;1; 0,99 ;6
58;2005-05-25 08:53:14.000;4315;3;1;940;1;15;Sports;1; 0,99 ;6
59;2005-05-25 08:56:42.000;1675;3;1;366;1;7;Drama;1; 0,99 ;3
60;2005-05-25 08:58:25.000;2829;3;1;621;1;8;Family;1; 2,99 ;5
61;2005-05-25 09:01:57.000;4560;3;2;995;2;11;Horror;1; 4,99 ;5
62;2005-05-25 09:18:52.000;3292;3;1;725;1;4;Classics;1; 4,99 ;6
63;2005-05-25 09:19:16.000;1075;4;1;239;1;2;Animation;1; 4,99 ;5
64;2005-05-25 09:21:29.000;280;4;1;63;1;8;Family;1; 0,99 ;6
65;2005-05-25 09:32:03.000;185;4;1;42;1;15;Sports;1; 2,99 ;5
66;2005-05-25 09:35:12.000;97;4;1;19;1;1;Action;1; 0,99 ;6
67;2005-05-25 09:41:01.000;2495;4;2;547;2;3;Children;1; 0,99 ;3
68;2005-05-25 09:47:31.000;2065;4;1;448;1;13;New;1; 2,99 ;3
69;2005-05-25 10:10:14.000;4385;4;2;958;2;7;Drama;1; 2,99 ;6
70;2005-05-25 10:15:23.000;3587;4;2;784;2;16;Travel;1; 2,99 ;7
71;2005-05-25 10:26:39.000;165;4;2;35;2;11;Horror;1; 2,99 ;4
72;2005-05-25 10:52:13.000;4117;4;1;895;1;4;Classics;1; 2,99 ;3
73;2005-05-25 11:00:07.000;2980;4;1;653;1;11;Horror;1; 4,99 ;3
74;2005-05-25 11:09:48.000;57;4;1;11;1;9;Foreign;1; 0,99 ;6
75;2005-05-25 11:13:34.000;4124;5;1;896;1;3;Children;1; 0,99 ;3
76;2005-05-25 11:30:37.000;301;5;1;68;1;3;Children;1; 4,99 ;5
77;2005-05-25 11:31:59.000;3998;5;1;870;1;11;Horror;1; 0,99 ;4
78;2005-05-25 11:35:18.000;3277;5;2;722;2;11;Horror;1; 0,99 ;5
79;2005-05-25 12:11:07.000;2466;5;1;539;1;7;Drama;1; 2,99 ;7
80;2005-05-25 12:12:07.000;4323;5;1;941;1;10;Games;1; 4,99 ;4
81;2005-05-25 12:15:19.000;1105;5;1;245;1;2;Animation;1; 0,99 ;4
82;2005-05-25 12:17:46.000;1183;5;1;263;1;15;Sports;1; 4,99 ;6
83;2005-05-25 12:30:15.000;600;5;2;131;2;4;Classics;1; 4,99 ;5
84;2005-05-25 12:36:30.000;4463;5;2;975;2;8;Family;1; 2,99 ;6
85;2005-05-25 13:05:34.000;1871;5;1;408;1;10;Games;1; 4,99 ;4
86;2005-05-25 13:36:12.000;957;5;2;213;2;8;Family;1; 0,99 ;4
87;2005-05-25 13:52:43.000;416;5;2;91;2;4;Classics;1; 0,99 ;5
88;2005-05-25 14:13:54.000;2348;5;2;511;2;1;Action;1; 0,99 ;7
89;2005-05-25 14:28:29.000;2153;5;1;465;1;13;New;1; 4,99 ;4
90;2005-05-25 14:31:25.000;4364;5;1;951;1;4;Classics;1; 0,99 ;6
91;2005-05-25 14:57:22.000;1434;5;1;314;1;2;Animation;1; 0,99 ;3
92;2005-05-25 15:38:46.000;3333;5;2;733;2;15;Sports;1; 0,99 ;4
93;2005-05-25 15:54:16.000;92;5;2;18;2;2;Animation;1; 0,99 ;6
94;2005-05-25 16:03:42.000;111;5;1;22;1;13;New;1; 2,99 ;6
95;2005-05-25 16:12:52.000;28;5;2;6;2;9;Foreign;1; 2,99 ;3
96;2005-05-25 16:32:19.000;711;5;1;155;1;13;New;1; 0,99 ;6
97;2005-05-25 16:34:24.000;1522;5;1;333;1;12;Music;1; 2,99 ;7
98;2005-05-25 16:48:24.000;4400;5;2;962;2;4;Classics;1; 2,99 ;7
99;2005-05-25 16:50:20.000;2587;5;2;568;2;5;Comedy;1; 4,99 ;4
100;2005-05-25 16:50:28.000;3022;5;1;663;1;4;Classics;1; 0,99 ;7
101;2005-05-25 17:17:04.000;3701;5;1;810;1;8;Family;1; 0,99 ;5
102;2005-05-25 17:22:10.000;3938;6;2;858;2;5;Comedy;1; 4,99 ;5
103;2005-05-25 17:30:42.000;375;6;2;83;2;8;Family;1; 2,99 ;5
104;2005-05-25 17:46:33.000;1290;6;1;285;1;14;Sci-Fi;1; 0,99 ;3
105;2005-05-25 17:54:12.000;3317;6;2;730;2;13;New;1; 0,99 ;3
106;2005-05-25 18:18:19.000;2363;6;1;514;1;7;Drama;1; 2,99 ;6
107;2005-05-25 18:28:09.000;2085;6;1;452;1;9;Foreign;1; 0,99 ;4
108;2005-05-25 18:30:05.000;1818;6;2;395;2;1;Action;1; 0,99 ;4
109;2005-05-25 18:40:20.000;1261;6;2;280;2;3;Children;1; 0,99 ;7
110;2005-05-25 18:43:49.000;3693;6;2;807;2;10;Games;1; 0,99 ;4
111;2005-05-25 18:45:19.000;1686;6;2;367;2;14;Sci-Fi;1; 0,99 ;6
112;2005-05-25 18:57:24.000;2699;6;2;592;2;12;Music;1; 2,99 ;6
113;2005-05-25 19:07:40.000;2686;6;1;590;1;13;New;1; 2,99 ;3
114;2005-05-25 19:12:42.000;3804;6;2;833;2;3;Children;1; 0,99 ;5
115;2005-05-25 19:13:25.000;3136;6;2;689;2;9;Foreign;1; 2,99 ;5
116;2005-05-25 19:27:51.000;1929;6;1;418;1;7;Drama;1; 0,99 ;5
117;2005-05-25 19:30:46.000;731;6;1;160;1;2;Animation;1; 0,99 ;4
118;2005-05-25 19:31:18.000;3692;6;1;807;1;10;Games;1; 0,99 ;4
119;2005-05-25 19:37:02.000;3617;6;1;790;1;7;Drama;1; 0,99 ;6
120;2005-05-25 19:37:47.000;3318;7;2;730;2;13;New;1; 0,99 ;3
121;2005-05-25 19:41:29.000;4278;7;2;931;2;16;Travel;1; 0,99 ;7
122;2005-05-25 19:46:21.000;2803;7;1;615;1;2;Animation;1; 2,99 ;6
123;2005-05-25 20:26:42.000;3109;7;2;683;2;7;Drama;1; 4,99 ;5
124;2005-05-25 20:46:11.000;2484;7;1;545;1;9;Foreign;1; 0,99 ;4
125;2005-05-25 20:48:50.000;2368;7;1;516;1;12;Music;1; 0,99 ;7
126;2005-05-25 21:07:59.000;4042;7;2;880;2;2;Animation;1; 2,99 ;6
127;2005-05-25 21:10:40.000;2877;7;2;631;2;15;Sports;1; 0,99 ;4
128;2005-05-25 21:19:53.000;468;7;2;103;2;16;Travel;1; 4,99 ;7
129;2005-05-25 21:20:03.000;1950;7;2;424;2;3;Children;1; 0,99 ;6
130;2005-05-25 21:21:56.000;2812;7;2;617;2;8;Family;1; 0,99 ;4
131;2005-05-25 21:42:46.000;3024;7;2;664;2;1;Action;1; 2,99 ;6
132;2005-05-25 21:46:54.000;3929;7;2;857;2;5;Comedy;1; 2,99 ;3
133;2005-05-25 21:48:30.000;2441;7;2;532;2;15;Sports;1; 4,99 ;5
134;2005-05-25 21:48:41.000;3913;7;1;854;1;11;Horror;1; 4,99 ;4
135;2005-05-25 21:58:58.000;3920;7;1;856;1;11;Horror;1; 4,99 ;5
136;2005-05-25 22:02:30.000;3123;7;2;687;2;6;Documentary;1; 0,99 ;6
